,precision,recall,f1-score,support
akiec,0.6666666666666666,0.07692307692307693,0.13793103448275862,26.0
bcc,0.4230769230769231,0.7333333333333333,0.5365853658536585,30.0
bkl,0.4774774774774775,0.7066666666666667,0.5698924731182796,75.0
df,0.6,0.5,0.5454545454545454,6.0
mel,0.16546762589928057,0.5897435897435898,0.25842696629213485,39.0
nv,0.9806138933764136,0.8082556591211718,0.8861313868613139,751.0
vasc,0.8888888888888888,0.7272727272727273,0.7999999999999999,11.0
accuracy,0.7654584221748401,0.7654584221748401,0.7654584221748401,0.7654584221748401
macro avg,0.6003130679122357,0.5917421504372237,0.5334888245803844,938.0
weighted avg,0.876448295255851,0.7654584221748401,0.7996393964253727,938.0
